customer_id,name,gender,age,income,occupation,city,account_type,account_tenure,balance,has_loan,has_credit_card,has_investment,last_marketing_response,email,mobile_no
B76-CUST016,Gilyot0Sur,male,63,116980.3,Professor,Charlotte,premium,22,27114.36,False,True,True,positive,gilyot0sur.b76c@outlook.com,9829034998
B31-CUST0161,Olivia Martinez,male,47,82836.6,Architect,Detroit,savings,10,25000.33,False,True,False,none,oliviamartinez.b31c@mail.com,9275547987
B7-004,Isabella Martinez,male,39,66427.8,Data Analyst,Indianapolis,savings,4,22000.0,False,True,False,positive,isabellamartinez.b700@mail.com,8602407561
CUST000002,B22-009,female,41,68931.4,HR Specialist,Seattle,current,6,10836.64,False,True,False,none,b22009.henr@outlook.com,9981443766
B51-003,Ch,female,31,58024.9,Software Engineer,Los Angeles,savings,5,15000.04,True,True,False,none,ch.b510@gmail.com,8996841833
B23-013,Henry Davis,male,35,61390.5,Project Manager,Boston,savings,6,40395.16,False,True,False,none,henrydavis.b230@gmail.com,9510018779
B28-020,Liam Davis,male,41,72000.0,Mechanical Engineer,Atlanta,current,12,18000.36,False,True,True,positive,liamdavis.b280@yahoo.com,7874055429
B26-CUST003,Amelia Smith,male,36,62000.4,Lawyer,Philadelphia,current,8,18000.32,False,True,False,none,ameliasmith.b26c@outlook.com,7930617380
B72-11011,Samuel Garcia,other,24,41000.1,Architect,Denver,current,2,12000.04,False,True,False,none,samuelgarcia.b721@mail.com,7782787040
B2-009,El Miller,male,38,93926.4,Sales Manager,Atlanta,current,9,21699.94,True,True,True,positive,elmiller.b200@mail.com,9363087885
B29-007,Hetorxrez,male,60,60603.0,Project Manager,Chicago,premium,15,25000.22,True,True,True,negative,hetorxrez.b290@mail.com,8961833513
B27-CUST011,David Lee,female,33,51489.0,Legal Advisor,Philadelphia,savings,9,22000.07,False,True,False,none,davidlee.b27c@outlook.com,7324876755
B34-008,Ch Davis,female,44,78461.3,Architect,Seattle,savings,12,17448.0,False,True,True,positive,chdavis.b340@gmail.com,8106278977
B38-CUST010,Charlotte White,female,46,38000.0,Graphic Designer,San Diego,salary,14,305215.36,False,True,True,positive,charlottewhite.b38c@yahoo.com,8250938468
B25-CUST016,Charlotte Garcia,female,37,51968.5,Architect,Portland,current,8,12000.43,False,True,True,none,charlottegarcia.b25c@yahoo.com,7891291347
B41-013,Ava Davis,male,39,60682.5,Graphic Designer,Seattle,salary,2,14000.54,False,True,False,none,avadavis.b410@outlook.com,9148149354
B41-012,Sophia Lopez,male,42,70610.8,Teacher,Seattle,savings,13,10465.94,False,True,True,negative,sophialopez.b410@yahoo.com,8421905328
B59-019,Benjamin Smith,male,60,100445.4,Senior Executive,Phoenix,savings,22,20551.19,False,False,True,negative,benjaminsmith.b590@yahoo.com,9995231778
B54-011,Cheieieuy,male,39,76763.6,Architect,Chicago,savings,6,13085.74,True,True,True,positive,cheieieuy.b540@outlook.com,8793162063
B49-019,Isabella Kim,female,36,73000.1,Data Scientist,Boston,salary,7,9899.67,True,True,True,none,isabellakim.b490@gmail.com,9289086604
B26-011,Michael Smith,male,52,95000.0,Entrepreneur,Charlotte,premium,15,106460.54,True,True,True,positive,michaelsmith.b260@yahoo.com,9698668248
B92-03345,Charlotte Clark,male,49,64862.8,Engineer,Atlanta,salary,13,25000.22,True,True,True,positive,charlotteclark.b920@gmail.com,8252169254
B22-1,Chia King,female,23,43503.4,Journalist,Boston,premium,2,372455.42,False,True,True,positive,chiaking.b221@mail.com,9275819030
L7-017,Mia Hernandez,male,26,72000.4,Accountant,Chicago,salary,8,18000.22,False,True,False,none,miahernandez.l701@mail.com,9388920956
B80-CUST018,Grace Scott,female,31,68352.6,Consultant,Charlotte,premium,6,62505.97,False,True,True,positive,gracescott.b80c@yahoo.com,9293887260
B87-CUST002,Mia Davis,male,63,102000.5,Accountant,Los Angeles,premium,28,313469.14,True,True,True,positive,miadavis.b87c@mail.com,9262515609
B95-00789,Evelyn Scott,male,48,69363.7,Architect,Detroit,current,14,27244.39,True,True,False,none,evelynscott.b950@mail.com,8683539633
B6-002,Benjamin Clark,female,39,75321.5,Data Analyst,Indianapolis,current,11,37713.31,True,True,False,negative,benjaminclark.b600@mail.com,8606371945
B98-1004,Lilieanij,female,32,70625.4,HR Specialist,Charlotte,salary,4,9037.95,False,True,False,none,lilieanij.b981@gmail.com,9194799242
B81-016,Olivia Kim,other,41,48000.0,Pharmacist,Phoenix,savings,11,20171.48,False,False,False,none,oliviakim.b810@mail.com,7496967288
B85-0018F0,Michael Hernandez,male,44,78946.5,Project Manager,Atlanta,salary,15,212851.66,True,True,True,negative,michaelhernandez.b850@mail.com,9406410607
B30-013,Rareperams,male,44,72000.0,Sales Manager,Austin,current,10,36718.73,True,True,True,positive,rareperams.b300@yahoo.com,7444956317
B34-018,Mia Clark,female,28,39494.5,Consultant,Detroit,premium,3,8000.3,False,True,False,none,miaclark.b340@outlook.com,7973121233
B62-CUST003,Van Ls Martinez,male,31,85653.1,Mechanical Engineer,Seattle,salary,6,18000.02,True,True,True,positive,vanlsmartinez.b62c@yahoo.com,8291692031
B87-0111,Evelyn Williams,female,38,68410.8,Mechanical Engineer,Seattle,savings,7,17906.77,False,True,False,none,evelynwilliams.b870@outlook.com,8559153499
B92-006,Latexander,male,45,77394.8,Operations Manager,San Francisco,current,14,22000.07,True,True,True,positive,latexander.b920@outlook.com,7209208774
CUST000004,Nartor Thanner,male,45,65669.7,Project Manager,Dallas,current,9,35423.87,True,True,False,positive,nartorthanner.b760@mail.com,8533479493
B8-013,Charlotte,male,29,70135.8,Journalist,Phoenix,current,3,15178.0,False,True,True,positive,charlotte.b801@outlook.com,9410864438
B24-1024,Maraosonaleaph,male,38,53448.6,Mechanical Engineer,Indianapolis,savings,5,17233.04,True,True,False,positive,maraosonaleaph.b241@outlook.com,7101246964
B60-0-CUST007,James Taylor,male,31,54386.6,HR Specialist,Indianapolis,premium,2,3049.42,False,True,True,positive,jamestaylor.b600@yahoo.com,8737182707
B42-03,Emma Garcia,female,40,95000.0,Legal Advisor,Houston,premium,15,252814.34,True,True,True,positive,emmagarcia.b420@outlook.com,8481076328
negative,B5-03,male,58,55746.6,Financial Advisor,Austin,current,20,97406.58,True,True,True,none,b503.nega@outlook.com,7787514867
B101-CUST016,Olivia Johnson,male,47,78000.4,Software Developer,Portland,savings,12,20159.26,True,True,True,positive,oliviajohnson.b101@gmail.com,9227098702
B3-CUST011,Ethan Davis,female,55,61258.8,Lawyer,Philadelphia,salary,5,65020.26,False,True,False,negative,ethandavis.b3cu@mail.com,8743803981
B80-CUST002,Rarah Lee,male,35,77486.4,HR Specialist,Las Vegas,current,9,9240.32,True,True,True,none,rarahlee.b80c@gmail.com,7445138235
B33-1334,Maria Lopez,female,62,102000.3,Lawyer,Boston,premium,20,256035.96,False,True,True,positive,marialopez.b331@outlook.com,9355562289
B15-CUST004,Chielieurner,female,38,69173.6,Marketing Manager,Miami,savings,7,30926.45,False,True,True,none,chielieurner.b15c@mail.com,7106692336
B53-02345,Charlotte Martin,female,38,88000.0,Photographer,Atlanta,salary,6,16285.83,False,True,False,none,charlottemartin.b530@mail.com,8454356120
B87-01234,Michael Johnson,male,54,98056.1,Lawyer,Philadelphia,salary,20,208218.42,False,True,True,positive,michaeljohnson.b870@mail.com,9595865291
B46-001234,Noelah Smith,female,29,47389.2,Nurse,Portland,current,3,7294.43,False,True,False,negative,noelahsmith.b460@yahoo.com,9959159175
B74-CUST005,Sarenicias,male,51,68354.9,Graphic Designer,Dallas,salary,14,255924.37,True,True,True,negative,sarenicias.b74c@mail.com,9898817047
B70-0123,Benjamin Scott,female,37,67000.6,Marketing Specialist,Philadelphia,savings,9,15000.02,False,True,True,positive,benjaminscott.b700@gmail.com,7852539730
B29-0234,Ava Martinez,female,46,82378.5,Lawyer,San Jose,savings,12,40666.01,False,True,False,none,avamartinez.b290@outlook.com,7992932343
B45-018,David Garcia,female,31,59700.5,Nurse,New York,salary,3,9779.92,False,False,False,positive,davidgarcia.b450@yahoo.com,7331995975
B6t-CUST002,Benjamin H,male,26,48000.0,Sales Executive,Detroit,savings,2,6031.12,False,True,False,positive,benjaminh.b6tc@yahoo.com,8168947858
B62-003,David Brown,female,39,65035.2,Student,San Jose,current,7,14000.23,True,True,False,positive,davidbrown.b620@outlook.com,7180059477
B12-013,Benjamin Brown,female,31,54338.1,Accountant,San Diego,salary,3,5613.5,False,True,False,negative,benjaminbrown.b120@gmail.com,8535743352
B44-01345,Samuel Martinez,female,22,29876.1,Teacher,San Diego,salary,3,4050.91,False,False,False,negative,samuelmartinez.b440@outlook.com,7897863745
B41-006k,Elijjah King,female,39,68289.1,Graphic Designer,Chicago,salary,9,85053.16,False,True,True,positive,elijjahking.b410@outlook.com,7493314621
B23-1007,Benjamin Taylor,male,55,75506.1,Engineer,San Jose,salary,25,50724.61,True,True,True,positive,benjamintaylor.b231@mail.com,7903612475
B6-10012,Benjamin Garcia,male,42,68791.8,Operations Manager,Orlando,savings,10,17659.24,False,True,True,positive,benjamingarcia.b610@gmail.com,9462434384
B32-CUST00789,Michael Clark,male,33,65340.6,Mechanical Engineer,Philadelphia,current,6,18000.22,True,True,False,none,michaelclark.b32c@yahoo.com,9974655741
Sophia5-CUST009,Isabella White,female,40,47029.6,Teacher,New York,salary,12,93052.94,False,True,True,none,isabellawhite.soph@mail.com,7633358086
B8-008,Emma W,female,44,82130.0,Doctor,San Francisco,savings,12,15000.36,False,True,True,positive,emmaw.b800@mail.com,7360674444
B61-1018,S Martinez,male,40,68658.0,Operations Manager,Portland,savings,10,30072.67,True,True,True,positive,smartinez.b611@outlook.com,9264579759
B42-019,Sophiaarah Ener,female,41,43675.9,Nurse,Portland,current,4,18000.16,False,True,False,none,sophiaarahener.b420@mail.com,8630773397
B73-CUST015,Amelia Moore,male,58,65314.2,Business Owner,Los Angeles,current,25,23633.0,True,True,True,negative,ameliamoore.b73c@yahoo.com,9460765001
B79-0020,Isabella Thomas,male,41,74314.3,HR Manager,Detroit,current,11,151194.35,True,True,True,positive,isabellathomas.b790@outlook.com,8365299089
B54-005,Evelyn Wilson,female,29,48000.2,Graphic Designer,San Francisco,salary,3,8000.35,False,True,True,positive,evelynwilson.b540@yahoo.com,7648514095
B58-009,Benjamin Lopez,male,59,73000.0,Manager,Charlotte,premium,26,33382.23,True,True,True,positive,benjaminlopez.b580@outlook.com,9726980713
B28-CUST014,Sophia Lee,male,37,75877.3,Architect,Seattle,current,7,23402.45,True,True,True,none,sophialee.b28c@mail.com,9278872034
B56-017,Isabella Walker,male,46,58717.9,Engineer,Philadelphia,current,10,18000.38,True,True,False,negative,isabellawalker.b560@outlook.com,7500627182
B1-003,Isabella Clark,male,44,95000.0,Financial Advisor,Boston,current,10,89555.78,True,True,True,positive,isabellaclark.b100@mail.com,7797997832
B56-012,Dan Pirez,male,60,138870.6,Consultant,Boston,premium,30,258707.65,True,True,True,positive,danpirez.b560@yahoo.com,8914317486
B46-CUST004,William Anderson,female,32,53056.7,Graphic Designer,Boston,current,9,16369.11,False,True,False,positive,williamanderson.b46c@outlook.com,9750124202
B74-10015,Amelia Young,female,33,77363.2,Nurse,Seattle,salary,6,9246.98,False,True,False,none,ameliayoung.b741@gmail.com,8429219174
B3-020,Ch Davisre,female,37,58252.7,Nurse,Seattle,salary,7,15000.0,False,True,True,positive,chdavisre.b302@gmail.com,9543270483
B18-022,Evelyn Lopez,female,27,35936.9,Student,Portland,salary,1,4128.35,False,False,False,none,evelynlopez.b180@yahoo.com,8786914608
B51-CUST004,Evelyn Young,male,40,75248.9,Architect,Columbus,savings,11,25000.32,True,True,True,positive,evelynyoung.b51c@mail.com,8721544592
B20-010,Maraegh Walkerrez,female,27,43102.3,Nurse,Columbus,salary,2,5113.37,False,True,False,none,maraeghwalkerrez.b200@yahoo.com,8464643271
B101-CUST001,Roah Garcia,male,41,49382.0,Data Analyst,Houston,salary,2,18000.17,False,True,False,negative,roahgarcia.b101@outlook.com,7221075746
B28-018,Oliver Lewis,female,36,64737.1,Teacher,Atlanta,savings,7,9867.77,False,True,True,none,oliverlewis.b280@yahoo.com,8168050892
B36-02660,Isabella Wilson,male,31,47301.2,Project Manager,Denver,current,6,6027.16,False,True,False,none,isabellawilson.b360@outlook.com,7636867519
B7e-020,Benjamin King,male,39,88000.2,Entrepreneur,Detroit,premium,9,18000.28,False,True,True,positive,benjaminking.b7e0@mail.com,9555470852
B101-CUST017,Sophia Kim,male,46,78000.0,Business Analyst,Charlotte,premium,12,28013.48,True,True,True,negative,sophiakim.b101@yahoo.com,7813155103
B5B8-005,Oliver Wilson,male,62,95000.0,Retired,San Diego,current,20,35921.56,False,True,False,none,oliverwilson.b5b8@outlook.com,8517848125
B72-0086P,Jacob King,female,26,62000.7,Data Scientist,Portland,salary,3,20853.82,False,True,True,none,jacobking.b720@mail.com,9170282053
B18-015,Alice Johnson,male,29,43416.4,Sales Executive,Philadelphia,savings,3,13176.56,False,True,False,positive,alicejohnson.b180@outlook.com,8978309471
B42-1020,Ella Smith,female,23,40666.9,Intern,Philadelphia,savings,1,5031.69,False,False,False,none,ellasmith.b421@gmail.com,9524297862
B74-CUST007,Olivia W Miller,male,55,95000.0,Project Manager,Boston,current,16,40294.6,True,True,True,negative,oliviawmiller.b74c@gmail.com,8327006614
B66-001,Olivia Williams,female,36,74543.1,Architect,Boston,savings,3,9867.4,False,True,False,none,oliviawilliams.b660@yahoo.com,7915738419
B94-CUST014,James Garcia,female,57,98996.2,Business Owner,Charlotte,premium,19,40401.48,True,True,True,positive,jamesgarcia.b94c@yahoo.com,9414523809
B68-0060,Ethan H_Id,female,40,68864.6,Business Consultant,Denver,premium,12,40737.51,True,True,True,none,ethanhid.b680@gmail.com,9329051734
B75-1002,Gloah Robinson,female,50,147128.1,Professor,Indianapolis,current,25,253739.8,True,True,True,negative,gloahrobinson.b751@mail.com,7415482181
B86-016,} {,male,44,93619.1,Professor,Detroit,premium,18,40895.51,True,True,True,positive,b86016.b860@outlook.com,9532080036
B66-CUST6,Amelia Davis,female,43,58843.7,Architect,Portland,savings,4,9359.43,False,False,False,none,ameliadavis.b66c@yahoo.com,9123044376
B71-04032,Emmaphuansen,male,60,101733.8,Retired,Los Angeles,savings,6,8000.54,False,False,True,none,emmaphuansen.b710@mail.com,9619733421
B57-008,Michael Brown,female,38,73000.1,Graphic Designer,Los Angeles,savings,7,25000.23,False,True,True,none,michaelbrown.b570@gmail.com,9807840673
B65-018,Lilyen,male,42,69864.2,Business Owner,Houston,savings,10,22000.02,True,True,True,positive,lilyen.b650@outlook.com,8149981161
B62-019,David Scott,male,27,40270.7,Graphic Designer,Dallas,savings,3,5505.75,False,True,False,none,davidscott.b620@mail.com,9841696959
B2-CUST011,Emma Johnson,female,45,82131.6,Software Engineer,San Francisco,savings,12,15000.22,True,True,True,none,emmajohnson.b2cu@mail.com,8495075836
B76-00,James Brown,male,38,70128.8,Engineer,Philadelphia,current,5,29080.81,False,True,False,none,jamesbrown.b760@yahoo.com,9246285700
B99-CUST007,William Garcia,female,29,52815.0,Graphic Designer,Chicago,savings,3,10900.67,False,True,False,positive,williamgarcia.b99c@yahoo.com,9476490537
B31-CUST017,Henry N,male,33,66367.9,Lawyer,Los Angeles,current,4,9262.22,False,False,False,none,henryn.b31c@outlook.com,9130647310
B96-CUST011,David King,male,62,149883.7,Retired,Houston,current,1,30788.09,False,True,True,none,davidking.b96c@yahoo.com,9368101268
B61-CUST010,Olivia Lee,female,29,48000.4,Marketing Manager,New York,salary,3,8824.86,False,False,False,negative,olivialee.b61c@mail.com,7942792155
B73-006,Henry Scott,female,41,60364.3,HR Specialist,Houston,savings,14,28283.83,False,True,False,positive,henryscott.b730@outlook.com,9581289915
True,B1-Cust00,male,29,71427.1,HR Manager,Chicago,salary,3,311961.66,False,True,False,negative,b1cust00.true@yahoo.com,7884341973
B36-CUST017,Benjamin Johnson,male,47,85332.0,Financial Advisor,San Diego,premium,10,60434.36,True,True,True,negative,benjaminjohnson.b36c@outlook.com,9273627371
B1-008,Grace Hernandez,female,38,61409.6,Teacher,Philadelphia,premium,8,28575.65,True,True,True,positive,gracehernandez.b100@gmail.com,8120287128
B33-002,Mia Wilson,female,27,37583.7,Content Writer,Los Angeles,premium,2,7471.14,False,True,False,none,miawilson.b330@outlook.com,8966509478
B76-008178,Amelia Clark,other,63,121465.8,Retired,San Diego,savings,22,14000.42,False,True,True,positive,ameliaclark.b760@yahoo.com,9757102359
CUST000006,Henry Kim,male,55,102000.4,Business Analyst,Denver,current,28,361011.34,True,True,True,positive,henrykim.b291@outlook.com,8324042263
B39-CUST017,Ella Brown,female,29,41000.1,Graphic Designer,Dallas,savings,11,25000.44,False,True,False,negative,ellabrown.b39c@gmail.com,9632319818
B13-CUST011,Michael Davis,female,46,60416.6,Data Analyst,Denver,salary,9,18000.15,False,True,True,negative,michaeldavis.b13c@outlook.com,7910444287
Jo2-012,Ella Anderson,male,50,80441.5,Project Manager,San Francisco,salary,8,30979.95,True,True,True,positive,ellaanderson.jo20@gmail.com,7568373900
B48-014,Mia Scott,female,41,69688.3,Accountant,Los Angeles,salary,7,14000.13,False,True,False,positive,miascott.b480@outlook.com,8729217136
B1-04,Grace Nguyen,male,60,108307.2,Retired,Miami,current,22,20568.02,False,False,True,negative,gracenguyen.b104@outlook.com,8660024088
B77-CUST017,Oliver Thomas,female,26,41000.0,Research Scientist,San Diego,savings,3,7043.31,False,False,False,none,oliverthomas.b77c@outlook.com,8192596204
B69-CUST008,Cexen,male,50,121036.7,Financial Analyst,Chicago,premium,18,49555.97,True,True,True,negative,cexen.b69c@outlook.com,9297589406
B30-CUST008,Henry Lee,female,39,66383.0,HR Manager,Austin,salary,5,15000.43,False,False,False,positive,henrylee.b30c@outlook.com,9989610670
B65-014,John Martinez,female,26,29929.0,Intern,San Diego,current,2,2000.0,False,False,False,none,johnmartinez.b650@mail.com,9818670255
B97-002,Emma Rodriguez,female,39,58755.7,Legal Advisor,Indianapolis,savings,6,10036.39,False,False,False,positive,emmarodriguez.b970@yahoo.com,7724447476
B94-017,Henry Smith,male,31,47645.3,Consultant,Orlando,savings,7,7163.96,False,True,True,positive,henrysmith.b940@outlook.com,8458904916
B43-015,Liam Lee,female,41,60377.9,Legal Advisor,Los Angeles,salary,5,22000.04,False,True,False,none,liamlee.b430@gmail.com,9280540297
William2-006,Varperguya,female,29,35410.9,Software Engineer,Los Angeles,salary,1,4194.48,False,False,True,positive,varperguya.will@mail.com,8228847782
B11-CUST011,Mia Lee,male,33,83285.9,Bank Manager,San Diego,current,6,20352.06,False,True,False,none,mialee.b11c@yahoo.com,7286921677
B51-005,Ethan Martinez,female,40,48000.0,HR Manager,Atlanta,savings,7,16423.66,False,True,False,negative,ethanmartinez.b510@gmail.com,8114283734
B44-035652,Sophia Smith,female,36,67000.1,HR Specialist,Boston,salary,12,11556.3,False,True,False,none,sophiasmith.b440@outlook.com,8449827187
Alice7,Liam Brown,male,63,105638.1,Professor,Philadelphia,current,20,2749.39,False,True,False,none,liambrown.alic@outlook.com,8616524050
B7-01756,Charlotte Wilson,male,33,61785.3,Architect,Dallas,current,6,7431.45,False,False,False,negative,charlottewilson.b701@gmail.com,8936792801
B19-04345,Charlotte Scott,female,49,95000.0,Lawyer,Atlanta,premium,16,193553.19,True,True,True,positive,charlottescott.b190@outlook.com,7580586241
B83-0211001,Ava Garcia,male,41,50824.9,Architect,San Diego,salary,11,19012.87,True,True,True,positive,avagarcia.b830@yahoo.com,8484990063
B69-010,"Jo0,",male,41,63619.9,Sales Executive,Philadelphia,current,9,26851.09,False,True,True,negative,jo0.b690@gmail.com,7233092497
B10-CUST011,Olivia Lewis,female,40,88000.1,Operations Manager,New York,current,10,30348.53,True,True,True,none,olivialewis.b10c@outlook.com,8727729115
B20-01560,William Martinrig,female,33,41000.0,IT Specialist,Raleigh,current,4,27378.06,False,False,False,none,williammartinrig.b200@yahoo.com,7898273684
B29-0466,Liam Scott,female,34,61637.5,Lawyer,San Jose,premium,9,19802.21,False,True,True,negative,liamscott.b290@mail.com,7501090304
B25-CUST010,Ava Lopez,male,49,56000.4,Sales Manager,Fort Worth,salary,9,22000.02,True,True,False,negative,avalopez.b25c@mail.com,9605669301
B58-0072,William Clark,male,37,52479.2,Sales Executive,Philadelphia,savings,5,15000.41,False,True,False,none,williamclark.b580@yahoo.com,8218113629
B8-006,Emma Wilson,male,34,64677.7,Architect,Seattle,current,6,18847.86,True,True,True,positive,emmawilson.b800@outlook.com,9358486130
B11-CUST005,Elaj,male,60,102000.2,CEO,Miami,savings,25,8000.46,False,True,True,positive,elaj.b11c@yahoo.com,9135692369
B2-0009,John,female,23,41000.0,Event Planner,Raleigh,current,2,12000.1,False,True,False,none,john.b200@outlook.com,9714105719
female,B50-009,male,50,58611.4,IT Consultant,Salt Lake City,premium,15,426640.67,False,True,True,none,b50009.fema@yahoo.com,7368733176
B60-1015,Sof Eaia Garcia,other,41,64547.4,Financial Analyst,Denver,current,18,15000.24,True,True,True,positive,sofeaiagarcia.b601@yahoo.com,8954688782
B39-003-CUST005,Michaelielgue,male,42,61924.4,Architect,Portland,current,8,28908.01,False,True,False,none,michaelielgue.b390@yahoo.com,8717998424
B66-CUST014,Michael_Marketing,male,40,78000.1,Financial Analyst,Austin,current,14,25000.21,True,True,True,negative,michaelmarketing.b66c@outlook.com,8192957631
B76-CUST013,Ava Wilson,female,24,47508.7,Graphic Designer,Chicago,savings,3,8000.05,False,True,False,positive,avawilson.b76c@gmail.com,8907660131
B15-014,Emily Davis,female,26,58338.8,Graphic Designer,Seattle,savings,3,9287.86,False,True,False,none,emilydavis.b150@gmail.com,8986247506
B47-011,Ava Lee,male,34,62000.1,Accountant,Austin,current,7,16292.59,False,True,True,positive,avalee.b470@yahoo.com,7115681647
B90-0333,Benjamin Walker,male,39,78000.2,Architect,Austin,current,6,15000.22,True,True,False,none,benjaminwalker.b900@gmail.com,8801759304
B74-CUST018,Benjamin Lee,female,48,63895.4,Data Scientist,Fort Worth,current,12,30951.99,True,True,False,negative,benjaminlee.b74c@outlook.com,9902611936
B76-006,Johnllen,female,50,88000.3,Project Manager,Seattle,savings,8,25000.36,False,True,False,none,johnllen.b760@outlook.com,9264475818
B32-018,Sophia Garcia,female,32,67000.4,Teacher,Detroit,savings,8,22000.08,False,True,True,positive,sophiagarcia.b320@mail.com,7348953816
B30-018,M,male,55,61298.0,Project Manager,San Diego,current,15,62816.21,True,False,True,negative,m.b300@mail.com,9749723813
B12-CUST006,Emilypher,female,44,88000.0,Teacher,Las Vegas,salary,6,20609.27,False,True,True,none,emilypher.b12c@mail.com,8973981374
B27-CUST008,William Wt Moore,female,31,67000.1,Teacher,Denver,salary,7,13125.83,False,True,False,none,williamwtmoore.b27c@mail.com,8157395354
B22-019,Mia Walker,female,28,47206.3,Graphic Designer,Raleigh,salary,3,18000.37,False,True,False,positive,miawalker.b220@mail.com,9466058550
B51-1012,Emma Hernandezaley,other,38,62000.0,Nurse,Atlanta,salary,6,18000.19,False,True,True,negative,emmahernandezaley.b511@mail.com,7302210318
B63-020,Henry,female,34,61192.2,Research Scientist,Portland,current,9,12060.63,False,True,False,negative,henry.b630@gmail.com,7212404787
B57-019,Mia White,male,41,78000.3,HR Manager,Miami,premium,12,204646.31,True,True,True,positive,miawhite.b570@yahoo.com,8620783356
B99-CUST0165,Charlotte Brown,male,63,62000.7,Senior Executive,Charlotte,savings,12,25000.13,False,True,False,positive,charlottebrown.b99c@gmail.com,8626283976
B19-CUST002,Henry Wilson,female,31,78000.3,Data Analyst,Columbus,salary,4,12168.82,False,True,False,none,henrywilson.b19c@mail.com,9204863531
B99-01011,James Smith,other,42,69451.4,Project Manager,Seattle,current,9,13533.67,True,True,False,none,jamessmith.b990@gmail.com,9480297353
B91-012,Mia Garcia,female,31,46865.1,Teacher,Salt Lake City,savings,5,9768.64,False,True,False,none,miagarcia.b910@outlook.com,9521983692
B49-CUST00178,David Harris,female,31,67000.4,Consultant,Columbus,salary,4,12000.03,False,True,False,none,davidharris.b49c@mail.com,9148267274
B38-018,Henry Martinez,female,36,60286.0,Sales Executive,Houston,salary,4,9587.43,False,True,False,negative,henrymartinez.b380@yahoo.com,8432127607
CUST000007,Emma Lopez,male,55,102000.1,Manager,Houston,savings,17,32805.27,True,True,True,negative,"b9, @yahoo.com",8162261769
B67-014,Isabella Moore,male,29,58879.6,Sales Executive,Detroit,current,5,16936.33,True,True,False,negative,isabellamoore.b670@outlook.com,9345408265
B35-CUST017,Sofia Halez,female,48,69975.0,Consultant,Portland,premium,15,404183.22,True,True,True,negative,sofiahalez.b35c@outlook.com,8659420120
B58-015,Name,male,26,45952.4,Teacher,Houston,savings,3,13146.97,False,False,False,none,name.b580@outlook.com,9278247814
B2ic-015,Sof Young,male,22,55731.0,Sales Manager,Las Vegas,current,15,172884.16,False,True,True,positive,sofyoung.b2ic@yahoo.com,9207221302
B10-056,C Moore,male,45,72000.4,Software Engineer,San Francisco,savings,12,15000.43,True,True,True,positive,cmoore.b100@outlook.com,7385075184
B20-10016F7,Olivia Martinez Williams,male,48,73000.0,IT Specialist,Detroit,premium,11,17315.04,True,True,True,positive,oliviamartinezwilliams.b201@yahoo.com,7168123185
B84-020,Alice Garcia,male,39,48000.3,Mechanical Engineer,San Francisco,salary,8,22000.01,False,True,False,positive,alicegarcia.b840@mail.com,7655319554
